"","species"
"210","Galium_saxatile"
"211","Gamochaeta_pensylvanica"
"212","Gamochaeta_purpurea"
"213","Geranium_lucidum"
"214","Geranium_nepalense"
"215","Geranium_pratense"
"216","Geranium_thunbergii"
"217","Gypsophila_paniculata"
"218","Hedera_colchica"
"219","Helianthus_annuus"
"220","Helianthus_laetiflorus"
"221","Heuchera_americana"
"222","Hibiscus_trionum"
"223","Holcus_mollis"
"224","Holosteum_umbellatum"
"225","Hosta_lancifolia"
"226","Hyparrhenia_hirta"
"227","Hypericum_androsaemum"
"228","Iberis_umbellata"
"229","Impatiens_balfourii"
"230","Iris_sibirica"
"231","Lamium_confertum"
"232","Lamium_galeobdolon"
"233","Lepidium_appelianum"
"234","Lepidium_graminifolium"
"235","Lepidium_heterophyllum"
"236","Leucanthemella_serotina"
"237","Leymus_innovatus"
"238","Ligusticum_scoticum"
"239","Linaria_genistifolia"
"240","Linaria_purpurea"
"241","Linaria_supina"
"242","Linum_virginianum"
"243","Lobelia_siphilitica"
"244","Lonicera_alpigena"
"245","Lonicera_japonica"
"246","Lopezia_racemosa"
"247","Lupinus_perennis"
"248","Luzula_campestris"
"249","Maianthemum_stellatum"
"250","Malva_sylvestris"
"251","Matthiola_longipetala"
"252","Medicago_monspeliaca"
"253","Medicago_polymorpha"
"254","Medicago_rigidula"
"255","Mikania_scandens"
"256","Mirabilis_jalapa"
"257","Miscanthus_sinensis"
"258","Misopates_orontium"
"259","Mycelis_muralis"
"260","Nepeta_racemosa"
"261","Nicandra_physalodes"
"262","Nicotiana_tabacum"
"263","Ononis_natrix"
"264","Ophrys_insectifera"
"265","Opuntia_macrorhiza"
"266","Ornithopus_compressus"
"267","Orobanche_crenata"
"268","Orobanche_hederae"
"269","Oxalis_articulata"
"270","Oxalis_triangularis"
"271","Oxychilus_cellarius"
"272","Papaver_radicatum"
"273","Parietaria_judaica"
"274","Parietaria_pensylvanica"
"275","Pentaglottis_sempervirens"
"276","Petrorhagia_prolifera"
"277","Phedimus_aizoon"
"278","Philadelphus_pubescens"
"279","Phormium_tenax"
"280","Phyllostachys_nigra"
"281","Physalis_longifolia"
"282","Pimpinella_major"
"283","Pimpinella_saxifraga"
"284","Poa_angustifolia"
"285","Poa_supina"
"286","Polycarpon_tetraphyllum"
"287","Polygonum_bistorta"
"288","Potentilla_pensylvanica"
"289","Primula_elatior"
"290","Proasellus_coxalis"
"291","Puccinellia_hauptiana"
"292","Puccinellia_nuttalliana"
"293","Pulsatilla_vulgaris"
"294","Ranunculus_gramineus"
"295","Raphanus_sativus"
"296","Reseda_alba"
"297","Reseda_luteola"
"298","Ricinus_communis"
"299","Rosa_arvensis"
"300","Rosa_micrantha"
"301","Rosa_setigera"
"302","Rubus_fruticosus"
"303","Rudbeckia_triloba"
"304","Rumex_confertus"
"305","Rumex_crispus"
"306","Sagina_saginoides"
"307","Salpichroa_origanifolia"
"308","Salvia_verticillata"
"309","Salvia_viridis"
"310","Satureja_montana"
"311","Saxifraga_hirsuta"
"312","Saxifraga_rosacea"
"313","Saxifraga_umbrosa"
"314","Scabiosa_ochroleuca"
"315","Schoenus_ferrugineus"
"316","Scleranthus_perennis"
"317","Scopolia_carniolica"
"318","Scutellaria_minor"
"319","Secale_montanum"
"320","Sedum_album"
"321","Senecio_squalidus"
"322","Senecio_sylvaticus"
"323","Seseli_libanotis"
"324","Sesleria_caerulea"
"325","Silene_antirrhina"
"326","Silene_pendula"
"327","Sinapis_arvensis"
"328","Sisymbrium_irio"
"329","Smelowskia_calycina"
"330","Solanum_alatum"
"331","Solanum_chenopodioides"
"332","Solanum_nigrum"
"333","Solanum_tuberosum"
"334","Spergula_morisonii"
"335","Stachys_byzantina"
"336","Stachys_officinalis"
"337","Tagetes_erecta"
"338","Tagetes_tenuifolia"
"339","Tanacetum_balsamita"
"340","Taraxacum_laevigatum"
"341","Thalictrum_minus"
"342","Thymelaea_passerina"
"343","Thymus_pulegioides"
"344","Thymus_serpyllum"
"345","Torilis_japonica"
"346","Trachelospermum_jasminoides"
"347","Tradescantia_ohiensis"
"348","Trifolium_diffusum"
"349","Trifolium_medium"
"350","Trifolium_montanum"
"351","Trifolium_strictum"
"352","Tulipa_sylvestris"
"353","Verbascum_chaixii"
"354","Verbascum_nigrum"
"355","Verbascum_speciosum"
"356","Verbascum_virgatum"
"357","Verbena_bonariensis"
"358","Verbena_urticifolia"
"359","Verbesina_alternifolia"
"360","Veronica_biloba"
"361","Veronica_cymbalaria"
"362","Veronica_fruticans"
"363","Veronica_verna"
"364","Vicia_disperma"
"365","Vicia_sylvatica"
