species,native,established,aquatic,ref
Piaractus_brachypomus,N,N,Y,https://www.fishbase.se/summary/Piaractus-brachypomus.html
Pimephales_promelas,N,N,Y,https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=621
Polydora_cornuta,N,N,Y,https://invasions.si.edu/nemesis/species_summary/204501
Polygonum_ramosissimum,N,N,Y,https://gobotany.nativeplanttrust.org/species/polygonum/ramosissimum/
Polypogon_monspeliensis,N,N,Y,https://pfaf.org/User/Plant.aspx?LatinName=Polypogon+monspeliensis
Pomoxis_annularis,N,N,Y,https://tpwd.texas.gov/huntwild/wild/species/wcp/
Pomoxis_nigromaculatus,N,N,Y,https://invasions.si.edu/nemesis/species_summary/168167
Potamogeton_compressus,N,N,Y,https://naturalhistory.museumwales.ac.uk/corespecies/CMS/Resources/pdfs/Potamogeton_compressus/Potamogeton_compressus.pdf
Potamothrix_vejdovskyi,DD,DD,Y,https://www.mindat.org/taxon-3240089.html
Proasellus_coxalis,N,N,Y,https://www.vliz.be/niet-inheemse-soorten/en/proasellus-coxalis
Prunella_laciniata,N,N,N,https://www.first-nature.com/flowers/prunella-laciniata.php
Pulicaria_dysenterica,N,N,Y,https://www.first-nature.com/flowers/pulicaria-dysenterica.php
Rhithropanopeus_harrisii,Y,Y,Y,https://invasions.si.edu/nemesis/species_summary/98790
Rorippa_austriaca,N,N,Y,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242414234
Rorippa_curvisiliqua,N,N,Y,https://calscape.org/Rorippa-curvisiliqua-()
Rotala_ramosior,N,N,Y,https://www.2hraquarist.com/blogs/freshwater-aquarium-plants-guide/how-to-grow-rotala-ramosior-florida
Rumex_thyrsiflorus,N,N,N,https://www.misin.msu.edu/facts/detail/?project=misin&id=513&cname=Narrowleaf+sorrel
Sagittaria_lancifolia,N,N,Y,https://plants.ifas.ufl.edu/plant-directory/sagittaria-lancifolia/
Sagittaria_sagittifolia,N,N,Y,http://www.misin.msu.edu/facts/detail/?project=misin&id=290&cname=Hawaii+arrowhead
Sagittaria_subulata,N,N,Y,https://buceplant.com/products/sagittaria-subulata
Salicornia_europaea,N,N,Y,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.116856
Salix_eleagnos,N,N,Y,https://gobotany.nativeplanttrust.org/species/salix/elaeagnos/
Salmo_salar,Y,Y,Y,KNOWN
Salvelinus_namaycush,N,N,Y,https://animaldiversity.org/accounts/Salvelinus_namaycush/
Sanguisorba_officinalis,N,N,N,https://www.gardenia.net/plant/sanguisorba-officinalis
Scardinius_erythrophthalmus,N,N,Y,https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=648
Scrophularia_auriculata,N,N,Y,https://www.first-nature.com/flowers/scrophularia-auriculata.php
Scrophularia_canina,DD,DD,DD,https://www.wildflowersprovence.fr/plant/scrophularia-canina/
Spartium_junceum,N,N,N,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=280486
Typha_glauca,DD,DD,Y,https://dnr.wisconsin.gov/topic/Invasives/fact/CattailHybrid
Umbra_pygmaea,N,N,Y,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.59964
