,species,avg_score,clim_match,batch
37,Brassica_tournefortii,0.001040363,Low,2011_2040
38,Bromus_diandrus,0.027268425,Low,2011_2040
39,Bromus_japonicus,1.265047096,Medium,2011_2040
40,Bromus_kalmii,0.937710215,Low,2011_2040
41,Bromus_squarrosus,0.798534957,Low,2011_2040
42,Bunium_bulbocastanum,0.049927776,Low,2011_2040
544,Bythotrephes_longimanus,1.178980567,Medium,1981_2010
43,Bythotrephes_longimanus,1.349773428,Medium,2011_2040
545,Cabomba_caroliniana,1.402362083,Medium,1981_2010
44,Cabomba_caroliniana,0.183558382,Low,2011_2040
45,Calotropis_gigantea,0.001588717,Low,2011_2040
46,Caltha_leptosepala,1.099148039,Medium,2011_2040
47,Canna_indica,0.014538232,Low,2011_2040
48,Capsicum_annuum,0.110514038,Low,2011_2040
481,Carassius_carassius,0.855953795,Low,1981_2010
482,Carassius_gibelio,1.029553807,Medium,1981_2010
49,Cardamine_parviflora,1.184140924,Medium,2011_2040
50,Cardiospermum_halicacabum,0.001284378,Low,2011_2040
51,Carex_kobomugi,0.0006128,Low,2011_2040
52,Carlina_vulgaris,0.128720187,Low,2011_2040
53,Carpobrotus_edulis,0.000126038,Low,2011_2040
546,Castor_canadensis,3.060042662,High,1981_2010
54,Castor_canadensis,1.339000091,Medium,2011_2040
55,Catharanthus_roseus,0.006668349,Low,2011_2040
56,Caucalis_platycarpos,0.114152361,Low,2011_2040
57,Centella_asiatica,0.001000741,Low,2011_2040
58,Ceratopteris_thalictroides,1.43E-06,Low,2011_2040
483,Cercopagis_pengoi,1.761190439,Medium,1981_2010
484,Channa_argus,1.196721271,Medium,1981_2010
59,Channa_marulius,0.004632045,Low,2011_2040
60,Cherax_cainii,2.77E-06,Low,2011_2040
61,Cherax_destructor,0.000379111,Low,2011_2040
62,Cichorium_endivia,0.042253612,Low,2011_2040
63,Cirsium_ochrocentrum,0.272102716,Low,2011_2040
64,Citrus_aurantiifolia,0.00095858,Low,2011_2040
65,Clupeonella_cultriventris,0.161639439,Low,2011_2040
66,Coix_lacryma-jobi,0.005943983,Low,2011_2040
547,Corbicula_fluminalis,0.991472961,Low,1981_2010
67,Corbicula_fluminalis,0.001944589,Low,2011_2040
485,Corbicula_fluminea,1.066631223,Medium,1981_2010
68,Coregonus_albula,0.128987424,Low,2011_2040
69,Corymbia_citriodora,6.77E-05,Low,2011_2040
70,Cotoneaster_moupinensis,0.027604469,Low,2011_2040
548,Crassula_helmsii,1.650777919,Medium,1981_2010
71,Crassula_helmsii,0.006452276,Low,2011_2040
549,Ctenopharyngodon_idella,0.901312718,Low,1981_2010
72,Ctenopharyngodon_idella,0.506117406,Low,2011_2040
73,Cucumis_anguria,0.002801078,Low,2011_2040
74,Cuscuta_approximata,0.105883016,Low,2011_2040
75,Cuscuta_reflexa,1.10E-05,Low,2011_2040
76,Cyclachaena_xanthiifolia,0.83613115,Low,2011_2040
77,Cyclanthera_pedata,0.000225131,Low,2011_2040
78,Cymbopogon_citratus,0.000908438,Low,2011_2040
79,Cynodon_dactylon,0.178600251,Low,2011_2040
80,Cynosurus_echinatus,0.066067669,Low,2011_2040
81,Cyperus_difformis,0.021589813,Low,2011_2040
550,Cyperus_iria,0.458652105,Low,1981_2010
82,Cyperus_iria,0.043765931,Low,2011_2040
551,Cyperus_microiria,0.751586849,Low,1981_2010
83,Cyperus_microiria,0.022756961,Low,2011_2040
84,Cyperus_papyrus,0.000356265,Low,2011_2040
552,Cyperus_strigosus,0.957906026,Low,1981_2010
85,Cyperus_strigosus,0.479467981,Low,2011_2040
553,Cyprinus_carpio,1.56136642,Medium,1981_2010
86,Cyprinus_carpio,1.28832127,Medium,2011_2040
554,Daphnia_ambigua,1.631729347,Medium,1981_2010
87,Daphnia_ambigua,0.067566243,Low,2011_2040
88,Daphnia_lumholtzi,0.077200304,Low,2011_2040
89,Datura_metel,0.009757202,Low,2011_2040
90,Dendrobaena_hortensis,0.024881837,Low,2011_2040
555,Digitalis_grandiflora,0.281760522,Low,1981_2010
91,Digitalis_grandiflora,0.781400492,Low,2011_2040
92,Digitaria_debilis,7.22E-05,Low,2011_2040
486,Dikerogammarus_villosus,0.687348694,Low,1981_2010
93,Dioscorea_bulbifera,4.18E-05,Low,2011_2040
487,Dorosoma_cepedianum,0.965025023,Low,1981_2010
488,Dreissena_polymorpha,1.685591625,Medium,1981_2010
94,Echinochloa_crus-pavonis,0.000260497,Low,2011_2040
95,Echinops_bannaticus,0.026504491,Low,2011_2040
96,Echinops_sphaerocephalus,0.70645823,Low,2011_2040
556,Elodea_nuttallii,1.434527772,Medium,1981_2010
97,Elodea_nuttallii,1.18899138,Medium,2011_2040
557,Equisetum_palustre,2.091527205,High,1981_2010
98,Equisetum_palustre,4.528630609,High,2011_2040
99,Eragrostis_curvula,0.105460594,Low,2011_2040
489,Erimyzon_sucetta,0.313284922,Low,1981_2010
