,species,avg_score,clim_match,batch
353,Sagittaria_platyphylla,0.01253734,Low,2011_2040
622,Sagittaria_sagittifolia,2.201040011,High,1981_2010
354,Sagittaria_sagittifolia,1.034604679,Medium,2011_2040
623,Sagittaria_subulata,0.461053922,Low,1981_2010
355,Sagittaria_subulata,0.043110679,Low,2011_2040
624,Salicornia_europaea,1.171235898,Medium,1981_2010
356,Salicornia_europaea,0.884587136,Low,2011_2040
625,Salix_eleagnos,1.600779683,Medium,1981_2010
357,Salix_eleagnos,0.161011719,Low,2011_2040
626,Salmo_salar,4.06299247,High,1981_2010
358,Salmo_salar,0.921480978,Low,2011_2040
359,Salpichroa_origanifolia,0.005142722,Low,2011_2040
360,Salsola_soda,0.000201124,Low,2011_2040
627,Salvelinus_namaycush,2.884881475,High,1981_2010
361,Salvelinus_namaycush,2.00049297,High,2011_2040
362,Salvia_verticillata,0.379787557,Low,2011_2040
363,Salvia_viridis,0.066242053,Low,2011_2040
364,Salvinia_auriculata,8.09E-05,Low,2011_2040
531,Sander_lucioperca,1.314775136,Medium,1981_2010
532,Sander_vitreus,0.978230992,Low,1981_2010
628,Sanguisorba_officinalis,2.326599803,High,1981_2010
365,Sanguisorba_officinalis,2.935590034,High,2011_2040
366,Santolina_rosmarinifolia,0.006594471,Low,2011_2040
367,Sarracenia_flava,0.002654793,Low,2011_2040
368,Satureja_montana,0.052257441,Low,2011_2040
369,Saxifraga_hirsuta,0.00925451,Low,2011_2040
370,Saxifraga_rosacea,0.026631803,Low,2011_2040
371,Saxifraga_sibthorpii,0.000382773,Low,2011_2040
372,Saxifraga_umbrosa,0.087489269,Low,2011_2040
373,Scabiosa_ochroleuca,1.256530042,Medium,2011_2040
629,Scardinius_erythrophthalmus,1.730466545,Medium,1981_2010
374,Scardinius_erythrophthalmus,0.379539989,Low,2011_2040
375,Schismus_barbatus,0.000214277,Low,2011_2040
376,Schkuhria_pinnata,1.67E-05,Low,2011_2040
377,Schoenoplectus_litoralis,0.002126452,Low,2011_2040
378,Schoenus_ferrugineus,0.32185974,Low,2011_2040
379,Scleranthus_perennis,0.312646207,Low,2011_2040
380,Scolymus_hispanicus,0.002118451,Low,2011_2040
381,Scopolia_carniolica,0.055562728,Low,2011_2040
382,Scorpiurus_muricatus,0.003470432,Low,2011_2040
630,Scrophularia_auriculata,2.216276239,High,1981_2010
383,Scrophularia_auriculata,0.05782737,Low,2011_2040
631,Scrophularia_canina,1.235779949,Medium,1981_2010
384,Scrophularia_canina,0.071115443,Low,2011_2040
385,Scutellaria_minor,0.026800938,Low,2011_2040
386,Secale_montanum,0.012191358,Low,2011_2040
387,Sedum_album,0.308876302,Low,2011_2040
388,Senecio_squalidus,0.026908313,Low,2011_2040
389,Senecio_sylvaticus,0.175373314,Low,2011_2040
390,Sesbania_herbacea,0.003982645,Low,2011_2040
391,Seseli_libanotis,1.277106423,Medium,2011_2040
392,Sesleria_caerulea,0.13656085,Low,2011_2040
393,Sidalcea_malviflora,0.045708134,Low,2011_2040
394,Silene_antirrhina,1.265900774,Medium,2011_2040
395,Silene_pendula,0.027343607,Low,2011_2040
396,Silene_sibirica,0.167469203,Low,2011_2040
533,Silurus_glanis,0.875041266,Low,1981_2010
397,Sinapis_arvensis,1.766543174,Medium,2011_2040
398,Sisymbrium_irio,0.270498466,Low,2011_2040
399,Smelowskia_calycina,1.010438569,Medium,2011_2040
400,Solanum_alatum,0.04691374,Low,2011_2040
401,Solanum_chenopodioides,0.021035233,Low,2011_2040
402,Solanum_nigrum,1.112371392,Medium,2011_2040
403,Solanum_tuberosum,0.279748599,Low,2011_2040
404,Solanum_viarum,0.000168358,Low,2011_2040
632,Spartium_junceum,0.88210143,Low,1981_2010
405,Spartium_junceum,0.010575113,Low,2011_2040
406,Spergula_morisonii,0.088398555,Low,2011_2040
407,Sphaeralcea_miniata,8.15E-05,Low,2011_2040
534,Sphaerium_corneum,1.288403242,Medium,1981_2010
408,Sphaerophysa_salsula,0.314407707,Low,2011_2040
409,Stachys_byzantina,0.095848355,Low,2011_2040
410,Stachys_cretica,0.012178435,Low,2011_2040
411,Stachys_officinalis,0.022841158,Low,2011_2040
412,Stachytarpheta_jamaicensis,0.00295553,Low,2011_2040
413,Stenotaphrum_secundatum,0.000939615,Low,2011_2040
535,Stratiotes_aloides,1.565412876,Medium,1981_2010
414,Tagetes_erecta,0.162087643,Low,2011_2040
415,Tagetes_minuta,0.007824931,Low,2011_2040
416,Tagetes_tenuifolia,0.047153282,Low,2011_2040
417,Talipariti_tiliaceum,0.000143958,Low,2011_2040
418,Tanacetum_balsamita,0.087167983,Low,2011_2040
419,Taraxacum_laevigatum,0.099381157,Low,2011_2040
420,Tetragonia_tetragonioides,0.002757419,Low,2011_2040
421,Thalictrum_minus,2.174582875,High,2011_2040
422,Theora_lubrica,4.63E-05,Low,2011_2040
536,Thymallus_arcticus,0.666497134,Low,1981_2010
423,Thymelaea_passerina,0.089740721,Low,2011_2040
424,Thymus_pulegioides,1.016550939,Medium,2011_2040
425,Thymus_serpyllum,0.699308819,Low,2011_2040
537,Tinca_tinca,0.787121915,Low,1981_2010
426,Tithonia_diversifolia,0.001590107,Low,2011_2040
427,Tolpis_barbata,0.002179962,Low,2011_2040
428,Tordylium_apulum,0.003682647,Low,2011_2040
429,Torilis_japonica,0.302123162,Low,2011_2040
430,Trachelospermum_jasminoides,0.000833534,Low,2011_2040
431,Tradescantia_ohiensis,0.09671717,Low,2011_2040
538,Trapa_natans,1.861965607,Medium,1981_2010
432,Trifolium_diffusum,0.010538443,Low,2011_2040
433,Trifolium_lappaceum,0.001014929,Low,2011_2040
434,Trifolium_ligusticum,0.000403291,Low,2011_2040
435,Trifolium_medium,0.705027486,Low,2011_2040
436,Trifolium_montanum,0.856807016,Low,2011_2040
437,Trifolium_mutabile,8.70E-05,Low,2011_2040
438,Trifolium_strictum,0.023315324,Low,2011_2040
439,Tropaeolum_majus,0.103174621,Low,2011_2040
440,Tulipa_sylvestris,0.238979776,Low,2011_2040
441,Typha_domingensis,0.049347994,Low,2011_2040
633,Typha_glauca,2.884106958,High,1981_2010
442,Typha_glauca,1.248626283,Medium,2011_2040
634,Umbra_pygmaea,0.114221506,Low,1981_2010
443,Umbra_pygmaea,0.009273751,Low,2011_2040
444,Urena_lobata,0.081053094,Low,2011_2040
445,Urochloa_distachya,8.59E-05,Low,2011_2040
446,Urospermum_picroides,0.002852119,Low,2011_2040
447,Urtica_chamaedryoides,0.000585435,Low,2011_2040
448,Vachellia_macracantha,0.00295553,Low,2011_2040
449,Vallisneria_spiralis,0.030958992,Low,2011_2040
539,Valvata_piscinalis,1.161580282,Medium,1981_2010
450,Verbascum_chaixii,0.085285549,Low,2011_2040
451,Verbascum_nigrum,0.713962229,Low,2011_2040
452,Verbascum_sinuatum,0.001550445,Low,2011_2040
453,Verbascum_speciosum,0.026820685,Low,2011_2040
454,Verbascum_virgatum,0.021889146,Low,2011_2040
455,Verbena_bonariensis,0.076472898,Low,2011_2040
456,Verbena_urticifolia,0.65164666,Low,2011_2040
457,Verbesina_alternifolia,0.050434193,Low,2011_2040
458,Verbesina_occidentalis,0.010130779,Low,2011_2040
459,Veronica_biloba,0.645722399,Low,2011_2040
460,Veronica_cymbalaria,0.012755608,Low,2011_2040
461,Veronica_fruticans,0.220112075,Low,2011_2040
462,Veronica_verna,0.969791562,Low,2011_2040
463,Vicia_disperma,0.012669869,Low,2011_2040
464,Vicia_sylvatica,1.348152918,Medium,2011_2040
465,Vicia_tenuifolia,1.140953423,Medium,2011_2040
540,Vimba_vimba,1.641848595,Medium,1981_2010
466,Vinca_major,0.114097716,Low,2011_2040
467,Viola_canadensis,1.818722738,Medium,2011_2040
468,Vitis_cinerea,0.015414006,Low,2011_2040
469,Wolffia_arrhiza,0.124491567,Low,2011_2040
470,Xanthium_spinosum,0.162410613,Low,2011_2040
471,Xiphophorus_hellerii,0.127931326,Low,2011_2040
472,Xiphophorus_maculatus,0.066740272,Low,2011_2040
