"","species"
"1","Alternanthera_philoxeroides"
"2","Ambloplites_rupestris"
"3","Ameiurus_natalis"
"4","Amia_calva"
"5","Barbatula_barbatula"
"6","Bithynia_tentaculata"
"7","Carassius_gibelio"
"8","Channa_argus"
"9","Corbicula_fluminea"
"10","Cyprinella_lutrensis"
"11","Dorosoma_cepedianum"
"12","Dreissena_polymorpha"
"13","Esox_lucius"
"14","Esox_masquinongy"
"15","Esox_reichertii"
"16","Gambusia_affinis"
"17","Gila_atraria"
"18","Gymnocephalus_cernua"
"19","Hydrilla_verticillata"
"20","Hydrocharis_morsus-ranae"
"21","Ictalurus_furcatus"
"22","Lepisosteus_osseus"
"23","Lepisosteus_platostomus"
"24","Lepomis_cyanellus"
"25","Lepomis_gibbosus"
"26","Lepomis_humilis"
"27","Lepomis_macrochirus"
"28","Lepomis_megalotis"
"29","Lepomis_peltastes"
"30","Micropterus_salmoides"
"31","Myriophyllum_aquaticum"
"32","Myriophyllum_spicatum"
"33","Najas_marina"
"34","Najas_minor"
"35","Neogobius_melanostomus"
"36","Nitellopsis_obtusa"
"37","Perca_fluviatilis"
"38","Perccottus_glenii"
"39","Phoxinus_phoxinus"
"40","Pisidium_amnicum"
"41","Poecilia_latipinna"
"42","Potamogeton_crispus"
"43","Potamopyrgus_antipodarum"
"44","Procambarus_clarkii"
"45","Proterorhinus_semilunaris"
"46","Pseudorasbora_parva"
"47","Pygocentrus_nattereri"
"48","Pylodictis_olivaris"
"49","Radix_auricularia"
"50","Rutilus_rutilus"
"51","Sander_lucioperca"
"52","Sander_vitreus"
"53","Silurus_asotus"
"54","Sphaerium_corneum"
"55","Stratiotes_aloides"
"56","Thymallus_arcticus"
"57","Trapa_natans"
"58","Valvata_piscinalis"
"59","Abbottina_rivularis"
"60","Alburnus_alburnus"
"61","Ameiurus_melas"
"62","Atriplex_hortensis"
"63","Boltonia_asteroides"
"64","Bythotrephes_longimanus"
"65","Castor_canadensis"
"66","Clupeonella_cultriventris"
"67","Ctenopharyngodon_idella"
"68","Cyperus_strigosus"
"69","Cyprinus_carpio"
"70","Daphnia_lumholtzi"
"71","Digitalis_grandiflora"
"72","Elodea_nuttallii"
"73","Equisetum_palustre"
"74","Faxonius_rusticus"
"75","Faxonius_virilis"
"76","Filipendula_rubra"
"77","Filipendula_vulgaris"
"78","Galium_uliginosum"
"79","Gammarus_tigrinus"
"80","Geranium_sylvaticum"
"81","Geum_aleppicum"
"82","Glyceria_maxima"
"83","Goodyera_repens"
"84","Hemibarbus_maculatus"
"85","Hemiculter_leucisculus"
"86","Hemimysis_anomala"
"87","Hieracium_piloselloides"
"88","Ictalurus_punctatus"
"89","Ipomoea_purpurea"
"90","Juncus_compressus"
"91","Juncus_ensifolius"
"92","Lemna_minuta"
"93","Lepomis_gulosus"
"94","Leucaspius_delineatus"
"95","Ligustrum_sinense"
"96","Limosella_aquatica"
"97","Ludwigia_peploides"
"98","Lysichiton_americanus"
"99","Lysichiton_camtschatcensis"
"100","Lythrum_virgatum"
"101","Mentha_aquatica"
"102","Micropterus_dolomieu"
"103","Montia_fontana"
"104","Muhlenbergia_frondosa"
"105","Myriophyllum_heterophyllum"
"106","Nasturtium_microphyllum"
"107","Nuphar_pumila"
"108","Nymphaea_tetragona"
"109","Oenothera_flava"
"110","Oenothera_parviflora"
"111","Oncorhynchus_tshawytscha"
"112","Pimephales_promelas"
"113","Polygonum_bistorta"
"114","Polygonum_ramosissimum"
"115","Polypogon_monspeliensis"
"116","Pomoxis_annularis"
"117","Pomoxis_nigromaculatus"
"118","Potamogeton_compressus"
"119","Potentilla_supina"
"120","Rorippa_austriaca"
"121","Rorippa_curvisiliqua"
"122","Rotala_ramosior"
"123","Rumex_thyrsiflorus"
"124","Sagittaria_sagittifolia"
"125","Salicornia_europaea"
"126","Salmo_salar"
"127","Salvelinus_namaycush"
"128","Sanguisorba_officinalis"
"129","Sarracenia_flava"
"130","Scardinius_erythrophthalmus"
"131","Typha_glauca"
"132","Urena_lobata"
"133","Xiphophorus_hellerii"
"134","Xiphophorus_maculatus"
"135","Hedychium_coronarium"
"136","Imperata_cylindrica"
"137","Aconitum_lycoctonum"
"138","Alyssum_simplex"
"139","Amaranthus_blitum"
"140","Amaranthus_hybridus"
"141","Amsonia_tabernaemontana"
"142","Apera_interrupta"
"143","Areca_catechu"
"144","Bassia_prostrata"
"145","Bidens_pilosa"
"146","Brachypodium_sylvaticum"
"147","Bromus_japonicus"
"148","Bromus_kalmii"
"149","Bromus_squarrosus"
"150","Calotropis_gigantea"
"151","Caltha_leptosepala"
"152","Cardamine_parviflora"
"153","Cirsium_ochrocentrum"
"154","Cuscuta_approximata"
"155","Cyclachaena_xanthiifolia"
"156","Echinops_sphaerocephalus"
"157","Euphorbia_glyptosperma"
"158","Filago_arvensis"
"159","Filipendula_ulmaria"
"160","Galeopsis_speciosa"
"161","Galium_album"
"162","Gamochaeta_pensylvanica"
"163","Geranium_nepalense"
"164","Geranium_pratense"
"165","Glyceria_declinata"
"166","Gypsophila_paniculata"
"167","Helianthus_annuus"
"168","Helianthus_laetiflorus"
"169","Heliotropium_curassavicum"
"170","Hibiscus_trionum"
"171","Holosteum_umbellatum"
"172","Hovenia_dulcis"
"173","Impatiens_balfourii"
"174","Iris_sibirica"
"175","Lamium_galeobdolon"
"176","Lawsonia_inermis"
"177","Lepidium_appelianum"
"178","Leucanthemella_serotina"
"179","Leymus_innovatus"
"180","Ligusticum_scoticum"
"181","Linaria_genistifolia"
"182","Lobelia_siphilitica"
"183","Lonicera_alpigena"
"184","Lonicera_japonica"
"185","Lupinus_perennis"
"186","Lupinus_plattensis"
"187","Luzula_campestris"
"188","Maianthemum_stellatum"
"189","Malva_sylvestris"
"190","Mirabilis_jalapa"
"191","Miscanthus_sinensis"
"192","Nepeta_racemosa"
"193","Nicandra_physalodes"
"194","Ophrys_insectifera"
"195","Opuntia_humifusa"
"196","Opuntia_macrorhiza"
"197","Papaver_radicatum"
"198","Parietaria_pensylvanica"
"199","Phedimus_aizoon"
"200","Physalis_longifolia"
"201","Pimpinella_saxifraga"
"202","Plantago_patagonica"
"203","Poa_angustifolia"
"204","Poa_supina"
"205","Potentilla_pensylvanica"
"206","Primula_elatior"
"207","Puccinellia_hauptiana"
"208","Puccinellia_nuttalliana"
"209","Raphanus_sativus"
"210","Rudbeckia_triloba"
"211","Rumex_confertus"
"212","Rumex_crispus"
"213","Sagina_saginoides"
"214","Salsola_soda"
"215","Salvia_verticillata"
"216","Scabiosa_ochroleuca"
"217","Schoenus_ferrugineus"
"218","Scleranthus_perennis"
"219","Seseli_libanotis"
"220","Silene_antirrhina"
"221","Silene_sibirica"
"222","Sinapis_arvensis"
"223","Sisymbrium_irio"
"224","Smelowskia_calycina"
"225","Solanum_nigrum"
"226","Sphaerophysa_salsula"
"227","Tagetes_erecta"
"228","Tanacetum_balsamita"
"229","Taraxacum_laevigatum"
"230","Thalictrum_minus"
"231","Thymus_pulegioides"
"232","Thymus_serpyllum"
"233","Tithonia_diversifolia"
"234","Torilis_japonica"
"235","Tradescantia_ohiensis"
"236","Trifolium_medium"
"237","Trifolium_montanum"
"238","Tulipa_sylvestris"
"239","Verbascum_nigrum"
"240","Verbena_urticifolia"
"241","Veronica_biloba"
"242","Veronica_verna"
"243","Vicia_sylvatica"
"244","Vicia_tenuifolia"
"245","Viola_canadensis"
"246","Amaranthus_viridis"
"247","Astragalus_galegiformis"
"248","Caucalis_platycarpos"
"249","Cynodon_dactylon"
"250","Eragrostis_curvula"
"251","Galega_officinalis"
"252","Mosla_dianthera"
"253","Parietaria_judaica"
"254","Prunella_laciniata"
"255","Sedum_album"
"256","Solanum_tuberosum"
"257","Thymelaea_passerina"
"258","Typha_domingensis"
"259","Xanthium_spinosum"
"260","Lythrum_portula"
"261","Neogobius_fluviatilis"
"262","Verbascum_chaixii"
